Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Bennet distributors“,110365450,"Metalo g. 2B, Vilnius",29-24-920,3/20/2014,3/19/2019,Prie T. Masiulio g. 18E,Petrašiūnai,Komercinė nuoroda: „Acqua Panna  S. Pellegrino  Viešbutis Pažaislis Park Hotel  Restoranas Svarstyklės  Kinų restoranas Tian Ping  Darbo laikas“,70-13-961,11.3,
UAB „Bennet distributors“,110365450,"Metalo g. 2B, 02190, Vilnius",29-24-1351,6/28/2017,6/27/2019,J. Grušo g. 8A,Milikoniai,Iškaba: „Bravo alco  Alkoholiniai gėrimai  (4 vnt.)  Darbo laikas “,70-13-726,16.663,
UAB „SISTEM“,110378330,"L. Ivinskio g. 114, 45120, Kaunas",29-24-2401,11/22/2017,11/21/2018,Savanorių pr. 276,Dainava,Iškaba: „Žaliakalnio terasos“,70-13-1367,9.368,
UAB „SISTEM“,110378330,"L. Ivinskio g. 114, 45120, Kaunas",29-24-2402,11/23/2017,11/21/2018,Savanorių pr. 276,Dainava,Iškaba: „Kompleksinė reklama“,70-13-1368,34.86,
Bendra Lietuvos - Bulgarijos įmonė uždaroji akcinė bendrovė „FILIPOPOLIS“,110384422,"Laisvės al. 80, Kaunas",29-24-1707,11/22/2013,11/5/2018,Laisvės al. 80,Senamiestis,Iškaba: „Gėrimai (2 vnt.)  FILIPOPOLIS  Darbo laikas“,70-13-1627,2.83,
Bendra Lietuvos - Bulgarijos įmonė uždaroji akcinė bendrovė „FILIPOPOLIS“,110384422,"Laisvės al. 80, Kaunas",29-24-1920,7/4/2014,7/3/2019,Vilniaus g. 64,Senamiestis,Iškaba: „Gėrimai  Darbo laikas“,70-13-1855,"0,72",
Bendra Lietuvos ir Vokietijos įmonė uždaroji akcinė bendrovė „BALTIC SIGN“,110394345,"Rotušės a. 27, Kaunas",29-24-1328,10/4/2013,9/19/2018,Taikos pr. 145B,Naujasodis,Iškaba: „BALTICSIGN  “,70-13-1169,4.2,
Bendra Lietuvos ir Švedijos įmonė uždaroji akcinė bendrovė „TINDRA“,110396887,"Algirdo g. 54, Kaunas",29-24-2325,12/2/2015,11/23/2020,Algirdo g. 54,Kalniečiai,Iškaba: „Tindra  Vitaterma  Šildymo sprendimai“,70-13-1317,3.6,
Uždaroji akcinė bendrovė „STEEL MARKET“,110427674," H. ir O. Minkovskių g. 150, Kaunas",29-24-1021,5/14/2015,4/27/2020, Prie H. ir O. Minkovskių g. 150A,Aleksotas,"Komercinė nuoroda: „Steel market UAB  Plieniniai llynai, tinklai  H. ir O. Minkovskių g. 150  Tel. +370 37 39 02 02, steelmarket@takas.lt  Darbo laikas“",70-13-473,1.06,
Uždaroji akcinė bendrovė „Baltic Clipper“,110437597,"Laisvės al. 61-1, 44304, Kaunas",29-24-2584,12/25/2017,12/24/2018,Laisvės al. 61,Naujamiestis,Iškaba: „Baltic Clipper (dvipusė konsolė)  Baltic Clipper  Baltic Clipper Kelionių agentūra Darbo laikas  “,70-13-2993,21.73,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1762,8/26/2017,8/11/2018,Ateities pl. 39 ,Naujasodis,Iškaba: „PROMO  Cach&Carry  PROMO“,70-13-822,59.88,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1763,9/1/2017,8/31/2018,Pramonės pr. 16 (Rytinė Galerija),Naujasodis,Iškaba: „PROMO  Cach&Carry  Darbo laikas“,70-13-962,5.34,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-2284,11/12/2017,7/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Lenor“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-2285,11/12/2017,7/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Duracell“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-2286,11/12/2017,7/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Vilniaus majonezas“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-2435,12/13/2017,12/12/2018,Raudondvario pl. 131,Veršvai,Iškaba: „PROMO  Cach&Carry  Cach&Carry  Reklaminiai tentai (3 vnt)“,70-13-1278,50.92,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1248,6/13/2018,8/13/2018,Savanorių pr. 404A,Veršvai,Iškaba: „PROMO  Cach&Carry  Cach&Carry  Reklaminiai tentai (2 vnt)“,70-13-637,60,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1412,7/2/2018,9/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Lenor“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1413,7/2/2018,9/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Duracell“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1414,7/2/2018,9/1/2018,Ateities pl. 39 ,Naujasodis,Komercinis stendas (komercinė reklama): „Vilniaus majonezas“,70-13-1242,22,
UAB „SANITEX“,110443493,"Raudondvario pl. 131, Kaunas",29-24-1577,9/1/2018,8/31/2019,Pramonės pr. 16 (Rytinė Galerija),Naujasodis,Iškaba: „PROMO  Cach&Carry  Darbo laikas“,70-13-962,5.34,
Uždaroji akcinė bendrovė „VESTEKSPRESS“,110461363,"A. Stulginskio g. 5-59, Vilnius",29-24-2339,11/14/2017,8/21/2019,Laisvės al. 89,Naujamiestis,Iškaba: „Novaturas Delta  VEST EXSPRESS partneris“,70-13-2279,2.12,
UAB „Zigzag Travel“,110461897,"J. Basanavičiaus g. 30-13, Vilnius",29-24-133,1/14/2014,12/8/2018,Ožeškienės g. 27,Naujamiestis,Iškaba: „zigzag.lt  Kelionių centras  zigzag.lt  “,70-13-1887,3.43,
Uždaroji akcinė bendrovė „EUROELEKTRONIKA“,110474243,"Pramonės pr. 15A, Kaunas",29-24-657,4/6/2018,3/29/2023,Partizanų g. 22A,Dainava,Iškaba: „EUROELEKTRONIKA“,70-13-302,1.44,
UAB „Danbalt International“,110474962,"V. Gerulaičio g. 1, 08200, Vilnius",29-24-2241,8/11/2014,8/10/2019,Laisvės al. 59,Naujamiestis,Iškaba: „Danija (5 vnt.)“,70-13-2156,"7,2",
UAB „Danbalt International“,110474962,"V. Gerulaičio g. 1, 08200, Vilnius",29-24-2685,10/3/2014,9/7/2019,Savanorių pr. 255,Kalniečiai,Iškaba: „Danija “,70-13-2434,3.6,
Uždaroji akcinė bendrovė „BALTIKA LIETUVA“,110504843,"A. Goštauto g. 40A, Vilnius",29-24-1172,4/15/2014,4/14/2019,Laisvės al. 49,Naujamiestis,Iškaba: „Baltman  “,70-13-1146,2.11,
Uždaroji akcinė bendrovė „BALTIKA LIETUVA“,110504843,"A. Goštauto g. 40A, Vilnius",29-24-2514,12/6/2016,10/21/2021,Islandijos pl. 32,Eiguliai,Iškaba: „monton“,70-13-1311,1.24,
Bendra Lietuvos ir Prancūzijos įmonė uždaroji akcinė bendrovė „SOFRALITA“,110541076,"Ateities pl. 23, Kaunas",29-24-474,3/14/2018,3/14/2019,Ateities pl. 23,Naujasodis,Iškaba: „SOFRALITA  IŠPARDUOTUVĖ  stock line“,70-13-150,14.39,
AB „LITEKSAS“,110544229,"Draugystės g. 16, Kaunas",29-24-2226,8/7/2014,8/6/2019,Draugystės g. 16,Naujasodis,Iškaba: „LITEKSAS“,70-13-2222,10.6,
AB „LITEKSAS“,110544229,"Draugystės g. 16, Kaunas",29-24-2315,8/20/2014,8/19/2019,Draugystės g. 16,Naujasodis,Iškaba: „UAB „Lietlinen“  Sandėlis  Darbo laikas  AB „Liteksas“  Lietvilna (ant vartų)  Liteksas  Firminė parduotuvė  Apklotai  Pledai  Šalikai AB „Liteksas“  UAB „Lietvilna“  UAB „Lietlinen“  AB „Liteksas“ pirmasis sandėlis (ant pastato)“,70-13-2220,"11,4",
AB „LITEKSAS“,110544229,"Draugystės g. 16, Kaunas",29-24-655,4/28/2018,2/18/2020,Draugystės g. 16,Naujasodis,Komercinė nuoroda: „Liteksas  Firminė parduotuvė  Pledai  Patalynė  Šalikai  Darbo laikas“,70-13-249,"7,92",
UAB „StrongPoint“,110545669,"Žalgirio g. 90, Vilnius",29-24-754,4/20/2018,4/20/2023,Žemaičių pl. 25,Smėliai,Iškaba: „StrongPoint  “,70-13-345,2.367,
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-676,6/29/2017,6/28/2018,Ožeškienės g. 3,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-807,144.06,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-677,6/29/2017,6/28/2018,Karaliaus Mindaugo pr. ir A. Mickevičiaus g. sankryža,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-805,24,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-680,8/25/2017,8/24/2018,Karaliaus Mindaugo pr. ir Birštono g. sankryža,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-957,18,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-681,6/29/2017,6/28/2018,"Jonavos g., prie Šauklių g. sankryžos žiedo",Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-806,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-217,5/3/2018,5/2/2019,"Savanorių pr., ties Nr. 213",Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-348,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-218,5/3/2018,5/2/2019,"Savanorių pr., ties Nr. 109",Žaliakalnis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-349,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-219,5/3/2018,5/2/2019,"K. Baršausko g., ties Nr. 66",Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-336,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-220,5/3/2018,5/2/2019,Prie Taikos pr. ir Studentų g. sankryžos,Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-337,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-221,5/3/2018,5/2/2019,Prie Vytauto pr. ir Karo ligoninės g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-322,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-222,5/3/2018,5/2/2019,Prie Karaliaus Mindaugo ir A. Mickevičiaus g. sanrkyžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-405,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-223,5/3/2018,5/2/2019,"Vytauto pr., ties Nr. 60",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-344,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-224,5/3/2018,5/2/2019,Prie Savanorių pr. 346,Eiguliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-345,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-225,5/3/2018,5/2/2019,Prie Savanorių pr. ir S. Žukausko g. sankryžos,Eiguliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-328,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-226,5/3/2018,5/2/2019,"Vilniaus g., ties Nr. 41",Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-332,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-227,5/3/2018,5/2/2019,"Vilniaus g., ties pastatu Nr. 64",Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-319,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-228,5/3/2018,5/2/2019,"S. Daukanto g., ties Laisvės al. 55",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-335,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-229,5/3/2018,5/2/2019,Prie Karaliaus Mindaugo ir Kaunakiemio g. sankyžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-406,"4,32",2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-230,5/3/2018,5/2/2019,Prie Vytauto pr. ir  Griunvaldo g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-341,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-231,5/3/2018,5/2/2019,"Kęstučio g., ties Vytauto pr. 83",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-334,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-232,5/3/2018,5/2/2019,Prie Vilniaus g. 72,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-342,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-233,5/3/2018,5/2/2019,Prie Šv. Gertrūdos g. ir J. Jablonskio g. sankryžos,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-333,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-234,5/3/2018,5/2/2019,"Savanorių pr., ties pastatu Nr. 349",Eiguliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-327,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-235,5/3/2018,5/2/2019,Prie Savanorių pr. ir Kampo g. sankryžos,Kalniečiai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-329,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-236,5/3/2018,5/2/2019,Prie Savanorių pr. ir Tvirtovės al. sankryžos,Kalniečiai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-330,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-237,5/3/2018,5/2/2019,Prie Savanorių pr. ir Taikos pr. sankryžos,Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-331,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-238,5/3/2018,5/2/2019,"Savanorių pr., ties Nr. 172",Žaliakalnis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-347,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-239,5/3/2018,5/2/2019,Prie Vilniaus g. ir Šv. Gertrūdos g. sankryžos,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-320,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-240,5/3/2018,5/2/2019,Prie K. Baršausko g. ir Popieriaus g. sankryžos,Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-321,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-241,5/3/2018,5/2/2019,"Vytauto pr., ties Nr. 52",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-338,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-242,5/3/2018,5/2/2019,"M. K. Čiurlionio g., prie geležinkelio stoties",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-339,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-243,5/3/2018,5/2/2019,"Kęstučio g., ties Nr. 6",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-323,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-244,5/3/2018,5/2/2019,Prie Kęstučio g. ir Gedimino g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-324,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-245,5/3/2018,5/2/2019,Prie Kęstučio g. ir A. Mickevičiaus g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-325,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-246,5/3/2018,5/2/2019,Prie K. Donelaičio g. ir L. Sapiegos g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-340,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-247,5/3/2018,5/2/2019,Prie K. Donelaičio g. ir A. Mickevičiaus g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-326,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-248,5/3/2018,5/2/2019,"Šv. Gertrūdos g., ties Nr. 7",Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-343,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-249,5/3/2018,5/2/2019,Prie Šv. Gertrūdos g. ir Gimnazijos g. sankryžos,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-350,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-250,6/16/2018,6/15/2019,Prie Savanorių pr. 375,Eiguliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-762,4.32,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-251,5/2/2018,5/1/2019,Prie Kęstučio g. ir Gedimino g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-151,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-252,5/2/2018,5/1/2019,Kęstučio g. ties pastatu Nr. 54,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-152,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-253,5/2/2018,5/1/2019,Prie Karaliaus Mindaugo pr. ir A. Mickevičiaus g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-155,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-254,5/2/2018,5/1/2019,Prie Karaliaus Mindaugo pr. ir Kaunakiemio g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-156,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-255,5/2/2018,5/1/2019,Prie K. Donelaičio g. ir S. Daukanto g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-153,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-256,5/2/2018,5/1/2019,Prie Karaliaus Mindaugo pr. ir Birštono g. sankryžos,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-157,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-257,5/2/2018,5/1/2019,Prie Šv. Gertrūdos g. ir Gimnazijos g. sankryžos,Senamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-158,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-258,5/2/2018,5/1/2019,Prie K. Donelaičio g. ir Maironio g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-154,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-259,5/3/2018,5/2/2019,"Prie Birštono g. ir Vilniaus g. sankryžos, ties požemine perėje",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-522,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-260,6/16/2018,6/15/2019,"Kęstučio g. , prie Kauno valstybinio muzikinio teatro ",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-761,10.8,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-261,5/5/2018,5/4/2019,Veiverių g. ir Europos pr. sankryža (KSK-31),Aleksotas,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-92,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-262,5/5/2018,5/4/2019,"T. Masiulio g., „Troleibusų žiedas“ galinė stotelė (KSK-21)",Petrašiūnai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2024,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-263,5/2/2018,5/1/2019,Jonavos g. ir Eigulių g. sankryža (KSK-35),Žaliakalnis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-88,18,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-264,5/2/2018,5/1/2019,Nuokalnės g. (netoli tilto) (KSK-8),Žaliakalnis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2018,48,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-265,5/2/2018,5/1/2019,Birželio 23-osios g. ir V. Krėvės pr. sankryža (žiedas) (KSK-46),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2027,54,3
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-266,5/2/2018,5/1/2019,"Žemaičių pl., prie sankryžos su Baltų pr. (prieš viaduką nuo centro) (KSK-53)",Smėliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-90,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-267,5/2/2018,5/1/2019,"K. Baršausko g. (prie p/c „Molas“, žaliojoje vejoje tarp važiuojamųjų dalių (KSK-55)",Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-95,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-268,5/5/2018,5/4/2019,Taikos pr. prie Pramonės pr. sankryžos žiedo (KSK-49),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-93,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-269,5/2/2018,5/1/2019,Veiverių g. (prie „Statoil“ degalinės) (KSK-9),Aleksotas,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2019,48,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-270,5/2/2018,5/1/2019,"Veiverių g. prieš aerouostą, netoli degalinės „Statoil“ (KSK-14)",Aleksotas,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2020,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-271,5/2/2018,5/1/2019,"Tunelio g. ir Radvilėnų pl. Sankryža, prie „Dainų slėnio“ (KSK-16)",Žaliakalnis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2021,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-272,5/2/2018,5/1/2019,P. Lukšio g. ir S. Žukausko g. sankryža (KSK-20),Eiguliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2023,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-273,5/2/2018,5/1/2019,Jurbarko g. / Brastos g. sankryža (KSK-29),Vilijampolė,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-98,18,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-274,5/2/2018,5/1/2019,"Pramonės pr., prie Aukštesniosios technologijos mokyklos (netoli žiedo) (KSK-37)",Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-2025,18,1
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-275,5/2/2018,5/1/2019,"Taikos pr., prie AB „TEO LT“, žaliojoje vejoje tarp važiuojamųjų dalių (KSK-47)",Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-96,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-276,5/2/2018,5/1/2019,"Taikos pr. 81, prie p/c „Rimi“ (KSK-48)",Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-91,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-277,5/2/2018,5/1/2019,Taikos pr. 88 (AB „Kraft Foods Lietuva“) (KSK-51),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-97,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-278,5/2/2018,5/1/2019,"Žemaičių pl. ir Baltų pr. sankryža (už viaduko), žaliojoje vejoje tarp važiuojamųjų dalių (KSK-52)",Smėliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-89,36,2
UAB „JCDecaux LIETUVA“,110587629,"Vilniaus g. 31/1, Vilnius",29-28-279,6/29/2018,6/28/2019,Karaliaus Mindaugo pr. ir A. Mickevičiaus g. sankryža,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-805,24,1
