Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
1025,1297/11,2015-09-16,n,UAB „MATIPAULA“,135739087,,,Naujamiestis,"kavinė, E. Ožeškienės g. 12, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1026,1297/14,2017-07-19,n,UAB „MATIPAULA“,135739087,,,Aleksotas,"kavinė, Europos pr. 109, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,vartoti vietoje
1027,1297/15,2018-06-28,2018-10-31,UAB „MATIPAULA“,135739087,,,Gričiupis,"lauko kavinė Nr. 4, Radvilėnų pl. 21, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc., kurortinio, poilsio ir turizmo sezonų laikotarpiu",9–19 val.,,,,,,vartoti vietoje ir išsinešti
1028,1228,2001-05-02,n,Vytauto Bareikio įmonė,135740246,,,Lampėdžiai,"kioskas, Vytauto g. 13","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–21 val.,,,,,,išsinešti
1029,1228/1,2005-11-28,n,UAB „VITRETA“,135740246,,,Lampėdžiai,"specializuotas parduotuvės skyrius, Vytauto g. 13, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1030,1231/1,2002-06-05,n,Aldonos Petravičienės įmonė,135752558,,,Naujamiestis,"kavinė-baras, Laisvės al. 75 / Maironio g. 24",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1031,1231/2,2005-02-10,n,Aldonos Petravičienės įmonė,135752558,,,Gričiupis,"specializuotas parduotuvės skyrius, K. Baršausko g.  53-10, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1032,1231/3,2006-01-09,n,Aldonos Petravičienės įmonė,135752558,,,Naujasodis,"kavinė, Taikos pr. 96, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1033,1467,2002-11-27,n,UAB „Carnaria“,135753126,,,Eiguliai,"specializuotas parduotuvės skyrius, Sukilėlių pr. 86A",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
1034,1290,2001-08-18,n,J. Butkienės firma „Defaika“,135758059,,,Kalniečiai,"specializuotas parduotuvės skyrius, Gaižiūnų g. 4",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1035,2048,2010-12-17,n,Uždaroji akcinė bendrovė „Selita“ ir Ko,135774259,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Rytinės galerijos 11 salė, Pramonės pr. 16 (4F1b), Kaunas",alkoholiniais gėrimais,8–17.30 val.,,,,,,išsinešti
1036,1340,2001-12-20,n,UAB „Šamjana“,135779224,,,Smėliai,"specializuotas parduotuvės skyrius, Baltijos g. 90A",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1037,1277,2001-07-11,n,V. Trepenaitienės įmonė,135780340,,,Žaliakalnis,"specializuotas parduotuvės skyrius, Žemaičių g. 134",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1038,1824,2007-05-03,n,N. Voronenko įmonė,135785088,,,Palemonas,"kioskas, prie pastato V. Taujenio g. 12, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1039,1320,2001-10-23,n,UAB „Pakelės svirnelis“,135787477,,,Lampėdžiai,"specializuotas parduotuvės skyrius, Raudondvario pl. 281",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1040,1314/1,2010-03-01,n,UAB „Žaisrega“,135794322,,,Smėliai,"specializuotas alkoholinių gėrimų prekybos skyrius, Baltijos g. 46A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1041,1399,2002-05-15,n,L. Putnienės firma,135818079,,,Kalniečiai,"baras, Statybininkų g. 12","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–17 val.,,,,,,gerti ten pat ir išsinešti
1042,1399/2,2004-08-17,n,L. Putnienės firma,135818079,,,Žaliakalnis,"kavinė, Aukštaičių g. 43, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1043,1540,2003-07-30,n,UAB „Vakoil“,135818983,,,Palemonas,"degalinė, Ateities pl. 40B",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1044,1540/1,2003-08-29,n,UAB „Vakoil“,135818983,,,Palemonas,"degalinė, Palemono g. 171",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1045,1540/3,2006-08-01,n,Uždaroji akcinė bendrovė „Vakoil“,135818983,,,Kazliškiai,"kavinė, Armoniškių g. 31, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1046,1540/4,2007-11-20,n,Uždaroji akcinė bendrovė „VAKOIL“,135818983,,,Kazliškiai,"degalinė, Armoniškių g. 31, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,išsinešti
1047,1325,2001-11-01,n,UAB „Vilmanda“,135822490,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 104A",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1048,1331/1,2002-01-09,n,Vestos Bareikienės įmonė,135822871,,,Palemonas,"specializuotas parduotuvės skyrius, Marių g. 8A",alkoholiniais gėrimais,8–20 val.,,,,,,išsinešti
1049,1636,2004-07-28,n,UAB „Kauno panorama“,135825262,,,Naujasodis,"kavinė, Draugystės g. 17, Kaunas",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
1050,1636/1,2004-07-28,n,UAB „Kauno panorama“,135825262,,,Naujamiestis,"kavinė, Vytauto pr. 71, Kaunas",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
1051,1636/2,2006-06-09,n,UAB „Kauno panorama“,135825262,,,Naujamiestis,"baras, Vytauto pr. 71, Kaunas",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
1052,1332,2001-11-21,n,UAB „Picana“,135826745,,,Senamiestis,"restoranas, Kumelių g. 7",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1053,2441,2015-08-27,n,V. Staniukaitienės firma „Apskaitos forma“,135830633,,,Senamiestis,"parduotuvės alkoholinių gėrimų skyrius, Vilniaus g. 35, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
1054,1339,2001-12-12,n,UAB „Ilrama“,135835032,,,Senamiestis,"baras, Savanorių pr. 11",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1055,1339/1,2008-03-27,n,UAB „ILRAMA“,135835032,,,Petrašiūnai,"baras, R. Kalantos g. 3, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat
1056,1368,2002-03-13,n,Dinos Veikelienės firma,135836287,,,Aleksotas,"specializuotas parduotuvės skyrius, Veiverių g. 118",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1057,1368/1,2005-06-17,n,Dinos Veikelienės firma,135836287,,,Naujamiestis,"specializuotas parduotuvės skyrius, E. Ožeškienės g. 7, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1058,1368/2,2010-06-04,n,Dinos Veikelienės firma,135836287,,,Smėliai,"baras, Baltijos g. 41B, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1059,1350,2002-01-09,n,A. Šalkausko firma,135839244,,,Smėliai,"specializuotas parduotuvės skyrius, Naujakurių g. 39A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1060,1350/1,2004-07-19,n,A. Šalkausko firma,135839244,,,Gričiupis,"specializuotas parduotuvės skyrius, Kovo 11-osios g. 45-83, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1061,1429,2002-08-02,n,UAB „Dalmana“,135849886,,,Kazliškiai,"restoranas, Veiverių g. 150",alkoholiniais gėrimais,8–4 val.,,,,,,gerti ten pat ir išsinešti
1062,2598,2018-02-28,n,UAB „Empatija“,135863925,,,Eiguliai,"baras, Jonavos g. 41D, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1063,1517,2003-06-04,n,UAB „Einartė“,135868858,,,Gričiupis,"restoranas, Kovo 11-osios g. 22",alkoholiniais gėrimais,10–4 val.,,,,,,gerti ten pat ir išsinešti
1064,1517/1,2005-09-01,n,UAB „Einartė“,135868858,,,Naujamiestis,"baras, Laisvės al. 68 / S. Daukanto g. 19, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1065,1400/2,2004-06-01,n,Zitos Gulbinienės individuali įmonė,135869426,,,Naujasodis,"paviljonas, Taikos pr. 137, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–22 val.,,,,,,išsinešti
1066,1443,2002-10-01,n,UAB „Edrivesta“,135871797,,,Eiguliai,"specializuota parduotuvė, Savanorių pr. 431",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1067,1443/1,2004-06-01,n,UAB „Edrivesta“,135871797,,,Eiguliai,"kavinė, Savanorių pr. 431, Kaunas",alkoholiniais gėrimais,8–4 val.,,,,,,gerti ten pat ir išsinešti
1068,1443/2,2010-07-29,n,Uždaroji akcinė bendrovė „Edrivesta“,135871797,,,Eiguliai,"baras, Savanorių pr. 431, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1069,1391,2002-05-01,n,UAB „Viesturas“,135883041,,,Senamiestis,"kavinė, Savanorių pr. 3",alkoholiniais gėrimais,8–3 val.,,,,,,gerti ten pat ir išsinešti
1070,1391/1,2004-01-28,n,UAB „Viesturas“,135883041,,,Senamiestis,"baras, Kurpių g. 18 / Palangos g. 9",alkoholiniais gėrimais,12–2 val.,,,,,,gerti ten pat ir išsinešti
1071,1744,2006-02-02,n,UAB „Sidabrinis beržas“,135894447,,,Naujamiestis,"kavinė-baras, Šiaulių g. 50, Kaunas",alkoholiniais gėrimais,8–3 val.,,,,,,gerti ten pat ir išsinešti
1072,1424/1,2002-08-01,n,UAB „Laiklita“ ir Ko,135898310,,,Smėliai,"baras, Baltijos g. 5A",alkoholiniais gėrimais,0–24 val.,2017-08-02,,,,,gerti ten pat ir išsinešti
1073,1424/2,2002-08-01,n,UAB „Laiklita“ ir Ko,135898310,,,Smėliai,"specializuotas parduotuvės skyrius, Baltijos g. 5A",alkoholiniais gėrimais,8–22 val.,2017-08-02,,,,,išsinešti
1074,1424/3,2002-08-01,n,UAB „Laiklita“ ir Ko,135898310,,,Vilijampolė,"specializuotas parduotuvės skyrius, Panerių g. 56",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1075,1424/4,2009-03-03,n,UAB „Laiklita“ ir Ko,135898310,,,Vilijampolė,"baras, Panerių g. 56, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1076,2542,2017-02-09,n,Uždaroji akcinė bendrovė „Nendrinė pastogė“,135906839,,,Senamiestis,"restoranas, Nemuno g. 43A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
1077,2274,2013-07-24,n,D. Kvalitaitės įmonė,135909568,,,Naujasodis,"kavinė, Darbo g. 9, Kaunas",alkoholiniais gėrimais,9–18 val.,,,,,,gerti ten pat
1078,1430,2002-08-06,n,UAB „Onrama“,135910150,,,Eiguliai,"kavinė-baras, P. Lukšio g. 7A",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1079,1430/1,2003-02-24,n,UAB „Onrama“,135910150,,,Smėliai,"specializuota parduotuvė I a., Baltijos g. 90A ",alkoholiniais gėrimais,0–24 val.,2017-09-06,,,,,išsinešti
1080,1430/2,2003-07-24,n,UAB „Onrama“,135910150,,,Gričiupis,"specializuotas parduotuvės skyrius, Studentų g. 4",alkoholiniais gėrimais,0–24 val.,2017-09-06,,,,,išsinešti
1081,1430/3,2005-02-23,n,UAB „Onrama“,135910150,,,Naujasodis,"specializuotas parduotuvės skyrius, Taikos pr. 135B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1082,1430/4,2005-11-23,n,UAB „Onrama“,135910150,,,Naujamiestis,"specializuota parduotuvė, Vytauto pr. 18, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1083,1430/5,2006-03-14,n,UAB „Onrama“,135910150,,,Petrašiūnai,"specializuotas parduotuvės skyrius, R. Kalantos g. 82, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,išsinešti
1084,1430/6,2006-10-27,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Sargėnai,"specializuota alkoholinių gėrimų parduotuvė, Vandžiogalos g. 11, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,išsinešti
1085,1430/7,2006-12-08,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Petrašiūnai,"kavinė-baras, R. Kalantos g. 82, Kaunas","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",8–24 val.,2017-08-24,,,,,gerti ten pat
1086,1430/8,2007-06-12,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Amaliai,"parduotuvės alkoholinių gėrimų skyrius, R. Kalantos g. 119, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1087,1430/9,2008-10-03,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Gričiupis,"specializuota alkoholinių gėrimų prekybos įmonė, Kovo 11-osios g. 20 / Chemijos g. 2, Kaunas",alkoholiniais gėrimais,nenurodytas,2017-08-24,,,,,išsinešti
1088,1430/10,2008-12-19,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Petrašiūnai,"kavinė, R. Kalantos g. 82, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1089,1430/11,2008-12-30,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Smėliai,"baras, Baltijos g. 90A, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1090,1430/12,2008-12-30,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Dainava,"baras, Partizanų g. 82, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1091,1430/13,2008-12-30,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Gričiupis,"baras, Studentų g. 4, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1092,1430/14,2009-09-28,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Panemunė,"baras, Tilto g. 6, Kaunas",alkoholiniais gėrimais,nenurodytas,2017-08-24,,,,,gerti ten pat ir išsinešti
1093,1430/15,2009-11-12,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Dainava,"kavinė, V. Krėvės pr. 104A, Kaunas",alkoholiniais gėrimais,nenurodytas,2017-08-24,,,,,gerti ten pat ir išsinešti
1094,1430/16,2011-04-12,n,Uždaroji akcinė bendrovė „Onrama“,135910150,,,Eiguliai,"kavinė, Savanorių pr. 441, Kaunas",alkoholiniais gėrimais,0–24 val.,2017-08-24,,,,,gerti ten pat ir išsinešti
1095,1619,2004-05-17,n,UAB „Pompėja“,135930562,,,Naujamiestis,"restoranas „Pompėja“, V. Putvinskio g. 38-29, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1096,2157,2012-02-27,n,UAB „Rimlestė“,135931283,,,Gričiupis,"kavinė, Taikos pr. 54, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1097,1451,2002-11-01,n,S. Klimo įmonė,135935919,,,Naujamiestis,"baras, Vasario 16-osios g. 9-R1",alkoholiniais gėrimais,9–21 val.,,,,,,gerti ten pat ir išsinešti
1098,1465,2002-11-27,n,R. Petraitytės firma,135936063,,,Gričiupis,"specializuotas parduotuvės skyrius, Chemijos g. 11-20",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1099,1465/2,2005-09-01,n,R. Petraitytės firma,135936063,,,Dainava,"paviljonas, Draugystės g. 1E, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1100,1465/3,2009-06-25,n,R. Petraitytės firma,135936063,,,Dainava,"baras, Draugystės g. 1E, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1101,1475,2002-12-17,n,UAB „Laurolija“,135941391,,,Vilijampolė,"specializuotas parduotuvės skyrius, Raudondvario pl. 153",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1102,1675,2005-01-25,n,UAB „Melsvūna“,135943257,,,Milikoniai,"specializuotas parduotuvės skyrius, Baltų pr. 2-1, Kaunas",alkoholiniais gėrimais,9–20 val.,,,,,,išsinešti
1103,1535,2003-07-16,n,UAB „Aramiso skrynia“,135945831,,,Senamiestis,"kavinė, Vilniaus g. 22",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1104,2025,2010-09-17,n,UAB „Lagridas“,135950636,,,Naujasodis,"užkandinė, traukinio 12 vagonas, Vakarinė galerija, Pramonės pr. 16, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–18 val.,,,,,,išsinešti
1105,1484,2003-01-27,n,UAB „Gaistvirga“,135959813,,,Palemonas,"paviljonas, Stoties g. 2 / Marių g. 14","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,išsinešti
1106,1484/2,2011-02-14,n,Uždaroji akcinė bendrovė „Gaistvirga“,135959813,,,Palemonas,"užkandinė, Stoties g. 2, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1107,2272,2013-07-22,n,Uždaroji akcinė bendrovė „Senamiesčio menė“,135962414,,,Senamiestis,"kavinė, Muitinės g. 1-2, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1108,1495,2003-03-06,n,Laimos Semaškienės įmonė,135969355,,,Petrašiūnai,"kioskas, R. Kalantos g. 116A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–24 val.,,,,,,išsinešti
1109,1508,2003-04-30,n,UAB „Biliardo pasaulis“,135973581,,,Naujamiestis,"II a. baras, Kęstučio g. 71",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1110,1508/1,2004-04-22,n,UAB „Biliardo pasaulis“,135973581,,,Naujamiestis,"III a. baras, Kęstučio g. 71, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1111,1500,2003-04-04,n,Vido Bakano firma,135977074,,,Veršvai,"specializuotas parduotuvės skyrius, Raudondvario pl. 212B",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1112,1502/2,2010-07-16,n,Jūratės Vilčinskienės individuali įmonė,135985555,,,Vilijampolė,"kavinė, Neries krantinė 16, Kaunas",alkoholiniais gėrimais,6–22 val.,,,,,,gerti ten pat ir išsinešti
1113,1502/4,2011-05-18,n,Jūratės Vilčinskienės individuali įmonė,135985555,,,Naujamiestis,"restoranas, S. Daukanto g. 21, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1114,1502/5,2012-09-05,n,UAB „Ateities užeiga“,135985555,,,Gričiupis,"kavinė, Pramonės pr. 15, Kaunas",alkoholiniais gėrimais,10–2 val.,,,,,,gerti ten pat ir išsinešti
1115,1506,2003-04-30,n,UAB „Sajadjan“,135985740,,,Žemieji Šančiai,"kavinė-baras, A. Juozapavičiaus pr. 44-4 ",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
1116,2206,2012-10-08,n,UAB „Verslo langas“,135993121,,,Dainava,"restoranas, Savanorių pr. 178, Kaunas",alkoholiniais gėrimais,11–6 val.,,,,,,gerti ten pat
1117,1528,2003-06-30,n,Birutės Misiūnienės individuali įmonė,136005388,,,Dainava,"baras, Kovo 11-osios g. 67B",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
1118,1543,2003-08-12,n,V. Žiūko įmonė,136007439,,,Senamiestis,"kavinė, Laisvės al. 97",alkoholiniais gėrimais,9–2 val.,,,,,,gerti ten pat ir išsinešti
1119,1543/1,2008-06-10,n,V. Žiūko įmonė,136007439,,,Senamiestis,"kavinė, Vilniaus g. 16, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1120,1560,2003-10-16,n,UAB „Karaliaus dvaras“ ir partneriai,136018791,,,Naujamiestis,"baras, Maironio g. 19",alkoholiniais gėrimais,18–6 val.,,,,,,gerti ten pat ir išsinešti
1121,1567,2003-10-24,n,UAB „Žalioji užeiga“,136031924,,,Senamiestis,"kavinė, J. Naugardo g. 2",alkoholiniais gėrimais,8–20 val.,,,,,,gerti ten pat ir išsinešti
1122,1567/1,2003-10-24,n,UAB „Žalioji užeiga“,136031924,,,Eiguliai,"kavinė, Šiaurės pr. 99C",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1123,1567/2,2003-10-24,n,UAB „Žalioji užeiga“,136031924,,,Naujamiestis,"kavinė-baras, L. Sapiegos g. 12",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1124,1571,2003-11-12,n,UAB „Tikslinga kryptis“,136034849,,,Aleksotas,kioskas prie pastato S. Dariaus ir S. Girėno g. 39,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1125,1571/1,2004-02-25,n,UAB „Tikslinga kryptis“,136034849,,,Aleksotas,"specializuotas parduotuvės skyrius, S. Dariaus ir S. Girėno g. 39 / Erdvės g. 2 ",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
1126,1666,2004-12-15,n,UAB „ABR“,136040898,,,Gričiupis,"kavinė, Studentų g. 16, Kaunas",alkoholiniais gėrimais,9–2 val.,,,,,,gerti ten pat ir išsinešti
1127,1947,2009-08-04,n,UAB „Eurokornus“,136048592,,,Naujamiestis,"specializuotas alkoholinių gėrimų prekybos skyrius, V. Putvinskio g. 72, Kaunas",alkoholiniais gėrimais,9–21 val.,,,,,,išsinešti
1128,1947/1,2010-02-03,n,UAB „Eurokornus“,136048592,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Rytinės galerijos 17 salė, Pramonės pr. 16 (8F1b), Kaunas",alkoholiniais gėrimais,8–17.30 val.,,,,,,išsinešti
1129,1947/2,2010-06-03,n,UAB „Eurokornus“,136048592,,,Senamiestis,"baras, Vilniaus g. 34 / L. Zamenhofo g. 11, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1130,1947/3,2010-10-27,n,UAB „Eurokornus“,136048592,,,Naujamiestis,"kavinė, S. Daukanto g. 14, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1131,1947/5,2014-11-26,n,UAB „Eurokornus“,136048592,,,Naujamiestis,"restoranas, S. Daukanto g. 23, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
1132,2033,2010-11-04,n,UAB „Čia Market “,141354683,,,Kalniečiai,"specializuotas alkoholinių gėrimų prekybos skyrius, V. Lašo g. 6, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1133,2033/1,2011-12-07,n,UAB „Čia Market “,141354683,,,Senamiestis,"baras, Vilniaus g. 15, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat
1134,2033/2,2011-12-07,n,UAB „Čia Market “,141354683,,,Gričiupis,"specializuotas alkoholinių gėrimų prekybos skyrius, Studentų g. 16, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1135,2033/3,2015-12-02,n,UAB „Čia Market “,141354683,,,Gričiupis,"parduotuvės alkoholinių gėrimų skyrius, M. Riomerio g. 1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1136,2033/4,2015-12-02,n,UAB „Čia Market “,141354683,,,Dainava,"parduotuvės alkoholinių gėrimų skyrius, Birželio 23-iosios g. 1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1137,2033/5,2016-04-15,n,UAB „Čia Market “,141354683,,,Eiguliai,"parduotuvės alkoholinių gėrimų skyrius, Šiaurės pr. 47, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1138,1946,2009-08-04,n,UAB „JUNGTINIS TURTO CENTRAS“,142113379,,,Naujamiestis,"baras ir mini barai viešbučio kambariuose (kambarių Nr. 201–232, 301–332, 401–403, 409–432), Miško g. 11, Kaunas",alkoholiniais gėrimais,0–22 val.,,,,,,gerti ten pat ir išsinešti
1139,2186,2012-06-18,n,Uždaroji akcinė bendrovė „Rūta“,144696375,,,Naujamiestis,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, Laisvės al. 88, Kaunas",alkoholiniais gėrimais,10–18 val.,,,,,,išsinešti
1140,1862,2008-04-11,n,AB „GUBERNIJA“,144715765,,,Senamiestis,"firminė parduotuvė, Birštono g. 18A, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti (gamyklos taroje ir pilstomą)
1141,2246,2013-04-16,n,UAB „SKULAS“,145316477,,,Marvelė,"degalinė, Marvelės g. 106D, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1142,2246/1,2013-04-16,n,UAB „SKULAS“,145316477,,,Eiguliai,"degalinė, Ašigalio g. 1A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1143,1948,2009-08-04,n,Uždaroji akcinė bendrovė „ANGOLITA“,145413339,,,Naujamiestis,"specializuotas alkoholinių gėrimų prekybos skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
1144,2135,2011-10-19,n,UAB Butautų dvaro bravoras,148081479,,,Naujasodis,"parduotuvė, Rytinės galerijos 17 salė (Z-025), Pramonės pr. 16 (5F1b), Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–18 val.,,,,,,išsinešti
1145,1597,2004-02-09,n,Aliaus Riškevičiaus prekybos įmonė,151307760,,,Naujasodis,"kioskas, Taikos pr. 135B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",5–22 val.,,,,,,išsinešti
